2012/09/20 09:39:13 INFO  - jmeter.util.JMeterUtils: Setting Locale to pl_PL 
2012/09/20 09:39:14 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'pl_PL', using 'pl' 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: Loading user properties from: /home/pawel/Dropbox/studia/inzynierka/apache-jmeter-2.7/bin/user.properties 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: Loading system properties from: /home/pawel/Dropbox/studia/inzynierka/apache-jmeter-2.7/bin/system.properties 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: Copyright (c) 1998-2012 The Apache Software Foundation 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: Version 2.7 r1342410 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: java.version=1.6.0_22 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: java.vm.name=OpenJDK Server VM 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: os.name=Linux 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: os.arch=i386 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: os.version=2.6.38-12-generic 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: Default Locale=polski (Polska) 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: JMeter  Locale=polski (Polska) 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: JMeterHome=/home/pawel/Dropbox/studia/inzynierka/apache-jmeter-2.7 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: user.dir  =/home/pawel/Dropbox/studia/inzynierka 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: PWD       =/home/pawel/Dropbox/studia/inzynierka 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: pawel-F3F FullName: pawel-F3F 
2012/09/20 09:39:14 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2012/09/20 09:39:16 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2012/09/20 09:39:16 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2012/09/20 09:39:17 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2012/09/20 09:39:19 INFO  - jmeter.gui.util.MenuFactory: Skipping kg.apc.jmeter.config.VariablesFromCSVFile 
2012/09/20 09:39:20 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2012/09/20 09:39:23 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2012/09/20 09:39:23 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2012/09/20 09:39:23 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2012/09/20 09:39:23 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
